id,productName,category,saltPercent,oilPercent,sugarPercent,moisturePercent,phLevel,packaging,heatTreatedBeforeSealing,transportDistanceKm,storageBeforeDelivery,actualShelfLifeDays,aiPredictedShelfLifeDays
58,Himalayan Mix,snack,2,6,3,7,6.10,vacuum_sealed,false,59,room_temp,240,229
59,Mango Pickle,pickle,3,14,0,36,3.54,glass_jar,true,170,room_temp,250,256
60,Roasted Foxnuts,snack,2,8,4,13,6.02,vacuum_sealed,false,485,room_temp,180,181
61,Roasted Foxnuts,snack,1,7,6,3,5.56,vacuum_sealed,false,756,room_temp,255,259
62,Himalayan Mix,snack,1,3,1,2,6.96,plastic_pouch,false,865,room_temp,165,167
63,Plum Juice,juice,0,0,22,82,3.09,glass_bottle,true,622,room_temp,185,184
64,Plum Juice,juice,0,0,14,88,4.60,pet_bottle,false,404,room_temp,20,23
65,Plum Juice,juice,0,0,19,81,2.54,glass_bottle,false,740,cold_chain,210,215
66,Himalayan Mix,snack,5,9,2,15,6.41,plastic_pouch,false,501,room_temp,75,62
67,Apple Juice,juice,0,0,13,80,3.80,glass_bottle,true,880,cold_chain,180,166
68,Garlic Pickle,pickle,15,12,0,38,4.18,plastic_jar,true,467,room_temp,340,348
69,Himalayan Mix,snack,1,10,5,12,6.69,plastic_pouch,false,343,room_temp,90,97
70,Apple Juice,juice,0,0,25,93,4.49,glass_bottle,false,657,cold_chain,165,173
71,Garlic Pickle,pickle,11,13,0,33,3.44,glass_jar,false,189,room_temp,295,307
72,Himalayan Mix,snack,5,2,4,10,5.42,vacuum_sealed,false,617,room_temp,225,231
73,Plum Juice,juice,0,0,11,91,2.58,pet_bottle,false,638,cold_chain,180,192
74,Garlic Pickle,pickle,13,23,0,20,3.77,plastic_jar,false,439,room_temp,440,429
75,Plum Juice,juice,0,0,5,84,4.26,glass_bottle,true,537,cold_chain,180,186
76,Garlic Pickle,pickle,12,28,0,31,3.64,plastic_jar,true,177,room_temp,385,398
77,Plum Juice,juice,0,0,21,89,4.11,glass_bottle,true,662,cold_chain,210,214
78,Rhododendron Squash,juice,0,0,11,94,4.46,glass_bottle,true,800,room_temp,110,110
79,Ragi Cookies,snack,3,7,3,6,6.67,plastic_pouch,false,914,room_temp,135,135
80,Ragi Cookies,snack,1,5,7,14,5.17,vacuum_sealed,false,83,room_temp,180,183
81,Ragi Cookies,snack,2,10,4,15,5.62,paper_box,false,227,room_temp,120,127
82,Apple Juice,juice,0,0,8,84,4.71,pet_bottle,true,836,room_temp,50,45
83,Garlic Pickle,pickle,15,6,0,34,3.17,plastic_jar,false,126,room_temp,205,191
84,Garlic Pickle,pickle,9,16,0,26,3.67,glass_jar,false,969,room_temp,350,347
85,Roasted Foxnuts,snack,2,3,8,9,6.32,plastic_pouch,false,701,room_temp,135,133
86,Himalayan Mix,snack,1,9,1,3,5.59,paper_box,false,244,room_temp,210,198
87,Apple Juice,juice,0,0,12,85,3.07,pet_bottle,true,895,room_temp,155,157
88,Roasted Foxnuts,snack,2,9,13,10,6.02,paper_box,false,329,room_temp,180,170
89,Himalayan Mix,snack,5,7,2,12,6.82,plastic_pouch,false,53,room_temp,90,94
90,Plum Juice,juice,0,0,18,85,3.60,glass_bottle,false,81,room_temp,110,104
91,Roasted Foxnuts,snack,5,9,9,14,5.22,vacuum_sealed,false,897,room_temp,165,168
92,Plum Juice,juice,0,0,17,90,3.52,glass_bottle,false,402,room_temp,110,111
93,Apple Juice,juice,0,0,13,88,2.98,glass_bottle,true,596,room_temp,155,169
94,Garlic Pickle,pickle,6,15,0,17,3.06,glass_jar,true,802,room_temp,395,385
95,Apple Juice,juice,0,0,24,88,3.36,glass_bottle,true,432,room_temp,200,185
96,Ragi Cookies,snack,1,2,9,10,6.97,paper_box,false,884,room_temp,165,161
97,Plum Juice,juice,0,0,10,84,3.55,pet_bottle,false,804,cold_chain,135,129
98,Garlic Pickle,pickle,9,13,0,10,3.34,plastic_jar,false,956,room_temp,350,360
99,Garlic Pickle,pickle,5,10,0,28,4.13,plastic_jar,false,211,room_temp,365,369
100,Chilli Pickle,pickle,3,19,0,20,3.14,glass_jar,false,102,room_temp,305,310
101,Ragi Cookies,snack,2,7,7,4,5.48,plastic_pouch,false,16,room_temp,180,181
102,Himalayan Mix,snack,4,6,13,7,5.98,plastic_pouch,false,454,room_temp,150,155
103,Plum Juice,juice,0,0,15,84,4.85,pet_bottle,true,75,room_temp,65,78
104,Himalayan Mix,snack,1,9,6,10,6.51,paper_box,false,719,room_temp,165,176
105,Plum Juice,juice,0,0,6,91,4.57,pet_bottle,false,68,room_temp,20,20
106,Plum Juice,juice,0,0,16,81,3.29,pet_bottle,true,187,cold_chain,270,274
107,Apple Juice,juice,0,0,16,88,4.70,glass_bottle,true,317,room_temp,95,109
108,Apple Juice,juice,0,0,11,88,3.51,glass_bottle,false,734,room_temp,65,75
109,Garlic Pickle,pickle,9,24,0,19,3.95,glass_jar,true,470,room_temp,455,460
110,Garlic Pickle,pickle,6,23,0,20,3.57,plastic_jar,false,440,room_temp,410,416
111,Himalayan Mix,snack,2,3,5,11,6.41,paper_box,false,432,room_temp,120,123
112,Himalayan Mix,snack,2,5,13,12,5.26,paper_box,false,137,room_temp,120,122
113,Roasted Foxnuts,snack,3,2,14,6,5.10,paper_box,false,818,room_temp,165,171
114,Apple Juice,juice,0,0,16,94,4.93,glass_bottle,false,864,cold_chain,105,93
115,Rhododendron Squash,juice,0,0,6,93,3.30,pet_bottle,true,755,cold_chain,225,212
116,Garlic Pickle,pickle,6,30,0,14,3.36,glass_jar,true,920,room_temp,440,430
117,Himalayan Mix,snack,1,5,3,11,5.08,vacuum_sealed,false,87,room_temp,180,181
118,Mango Pickle,pickle,9,14,0,16,3.60,glass_jar,false,591,room_temp,350,361
119,Plum Juice,juice,0,0,7,89,2.96,pet_bottle,true,990,room_temp,155,153
120,Chilli Pickle,pickle,13,18,0,38,3.41,glass_jar,true,406,room_temp,340,345
121,Roasted Foxnuts,snack,4,3,3,10,6.54,paper_box,false,145,room_temp,180,179
122,Mango Pickle,pickle,11,12,0,17,3.63,plastic_jar,false,334,room_temp,395,387
123,Himalayan Mix,snack,3,5,11,5,6.08,vacuum_sealed,false,540,room_temp,225,215
124,Garlic Pickle,pickle,10,8,0,19,3.90,plastic_jar,false,83,room_temp,275,263
125,Garlic Pickle,pickle,10,25,0,31,4.31,plastic_jar,false,541,room_temp,295,298
126,Himalayan Mix,snack,3,4,11,13,5.14,plastic_pouch,false,514,room_temp,75,79
127,Rhododendron Squash,juice,0,0,19,83,2.84,glass_bottle,false,475,cold_chain,225,234
128,Himalayan Mix,snack,5,6,15,15,6.68,plastic_pouch,false,356,room_temp,90,85
129,Himalayan Mix,snack,5,6,4,4,5.97,vacuum_sealed,false,245,room_temp,270,266
130,Roasted Foxnuts,snack,4,6,4,11,5.21,plastic_pouch,false,189,room_temp,90,98
131,Ragi Cookies,snack,4,6,5,9,5.36,vacuum_sealed,false,765,room_temp,225,212
132,Plum Juice,juice,0,0,5,82,2.98,pet_bottle,false,113,cold_chain,195,184
133,Plum Juice,juice,0,0,5,87,3.69,glass_bottle,false,878,cold_chain,135,135
134,Plum Juice,juice,0,0,5,80,4.86,glass_bottle,true,157,cold_chain,135,148
135,Mango Pickle,pickle,5,16,0,28,3.08,glass_jar,false,375,room_temp,365,368
136,Himalayan Mix,snack,5,9,14,5,6.20,plastic_pouch,false,988,room_temp,135,138
137,Chilli Pickle,pickle,12,9,0,32,3.20,glass_jar,false,857,room_temp,190,185
138,Rhododendron Squash,juice,0,0,22,93,3.75,glass_bottle,true,34,room_temp,155,158
139,Garlic Pickle,pickle,14,27,0,14,3.20,plastic_jar,true,310,room_temp,485,470
140,Chilli Pickle,pickle,11,14,0,33,3.98,glass_jar,false,716,room_temp,280,291
141,Garlic Pickle,pickle,13,26,0,12,3.44,plastic_jar,false,966,room_temp,425,418
142,Himalayan Mix,snack,2,3,9,15,5.45,paper_box,false,488,room_temp,120,115
143,Chilli Pickle,pickle,4,5,0,14,3.66,plastic_jar,false,857,room_temp,200,205
144,Mango Pickle,pickle,7,11,0,38,3.13,plastic_jar,true,141,room_temp,310,308
145,Himalayan Mix,snack,1,2,2,10,6.43,paper_box,false,946,room_temp,165,179
146,Plum Juice,juice,0,0,6,85,3.15,glass_bottle,true,500,room_temp,170,163
147,Roasted Foxnuts,snack,3,9,0,8,6.09,paper_box,false,737,room_temp,165,173
148,Himalayan Mix,snack,2,5,4,5,5.59,plastic_pouch,false,925,room_temp,135,128
149,Garlic Pickle,pickle,8,15,0,21,3.40,plastic_jar,true,62,room_temp,410,425
150,Chilli Pickle,pickle,8,12,0,10,3.48,glass_jar,false,697,room_temp,350,348
151,Roasted Foxnuts,snack,2,8,5,4,5.85,plastic_pouch,false,387,room_temp,180,187
152,Ragi Cookies,snack,1,10,9,5,6.37,paper_box,false,75,room_temp,180,165
153,Apple Juice,juice,0,0,14,84,2.70,glass_bottle,false,594,room_temp,110,103
154,Roasted Foxnuts,snack,1,9,0,9,6.95,plastic_pouch,false,192,room_temp,150,158
155,Roasted Foxnuts,snack,2,2,4,3,6.13,plastic_pouch,false,376,room_temp,180,190
156,Ragi Cookies,snack,1,6,14,3,5.36,paper_box,false,875,room_temp,195,210
157,Apple Juice,juice,0,0,19,92,2.74,pet_bottle,true,499,room_temp,200,211
158,Plum Juice,juice,0,0,13,90,4.19,pet_bottle,false,968,room_temp,65,69
159,Plum Juice,juice,0,0,25,85,4.92,glass_bottle,false,546,cold_chain,105,104
160,Garlic Pickle,pickle,8,29,0,33,3.27,glass_jar,false,331,room_temp,310,306
161,Roasted Foxnuts,snack,5,5,13,15,6.09,vacuum_sealed,false,618,room_temp,165,150
162,Chilli Pickle,pickle,14,22,0,22,3.45,plastic_jar,false,296,room_temp,440,450
163,Himalayan Mix,snack,2,7,4,14,5.68,paper_box,false,881,room_temp,105,110
164,Himalayan Mix,snack,3,7,9,2,5.73,plastic_pouch,false,486,room_temp,180,168
165,Chilli Pickle,pickle,8,5,0,10,3.46,plastic_jar,true,384,room_temp,320,307
166,Garlic Pickle,pickle,9,26,0,26,3.05,plastic_jar,true,938,room_temp,440,438
167,Roasted Foxnuts,snack,4,8,10,6,5.06,paper_box,false,221,room_temp,180,165
168,Chilli Pickle,pickle,10,23,0,13,3.42,glass_jar,false,977,room_temp,395,384
169,Roasted Foxnuts,snack,5,9,12,6,6.25,paper_box,false,985,room_temp,165,178
170,Roasted Foxnuts,snack,3,5,3,15,5.63,plastic_pouch,false,781,room_temp,75,76
171,Plum Juice,juice,0,0,12,92,4.80,glass_bottle,false,752,cold_chain,75,71
172,Ragi Cookies,snack,5,10,7,2,6.71,plastic_pouch,false,206,room_temp,180,191
173,Ragi Cookies,snack,4,7,12,10,6.51,vacuum_sealed,false,957,room_temp,225,220
174,Ragi Cookies,snack,4,10,3,3,6.59,plastic_pouch,false,568,room_temp,165,151
175,Plum Juice,juice,0,0,19,82,4.95,glass_bottle,false,173,cold_chain,120,125
176,Garlic Pickle,pickle,5,17,0,40,4.45,plastic_jar,true,399,room_temp,310,321
177,Mango Pickle,pickle,11,29,0,19,3.16,plastic_jar,true,689,room_temp,470,483
178,Ragi Cookies,snack,1,7,11,8,5.36,plastic_pouch,false,143,room_temp,150,152
179,Ragi Cookies,snack,1,7,13,11,6.66,vacuum_sealed,false,638,room_temp,165,170
180,Roasted Foxnuts,snack,5,7,0,4,5.50,vacuum_sealed,false,667,room_temp,255,261
181,Himalayan Mix,snack,1,7,4,12,6.95,plastic_pouch,false,176,room_temp,90,92
182,Roasted Foxnuts,snack,3,10,6,9,6.04,paper_box,false,144,room_temp,180,171
183,Plum Juice,juice,0,0,14,85,4.94,glass_bottle,true,248,room_temp,65,78
184,Plum Juice,juice,0,0,8,81,3.75,pet_bottle,false,726,room_temp,65,53
185,Rhododendron Squash,juice,0,0,7,85,2.51,glass_bottle,true,10,cold_chain,240,231
186,Plum Juice,juice,0,0,15,83,3.09,glass_bottle,false,838,room_temp,110,118
187,Roasted Foxnuts,snack,1,4,5,7,6.84,vacuum_sealed,false,674,room_temp,225,221
188,Roasted Foxnuts,snack,2,4,7,2,6.58,vacuum_sealed,false,366,room_temp,270,277
189,Roasted Foxnuts,snack,2,10,1,12,6.72,vacuum_sealed,false,708,room_temp,165,175
190,Mango Pickle,pickle,3,6,0,20,3.23,glass_jar,false,754,room_temp,200,194
191,Apple Juice,juice,0,0,9,81,4.09,pet_bottle,true,720,cold_chain,180,192
192,Roasted Foxnuts,snack,2,5,1,5,5.88,paper_box,false,555,room_temp,165,179
193,Rhododendron Squash,juice,0,0,24,89,4.77,glass_bottle,false,412,room_temp,50,59
194,Apple Juice,juice,0,0,19,84,4.01,pet_bottle,false,363,room_temp,110,114
195,Plum Juice,juice,0,0,19,92,3.78,glass_bottle,false,290,cold_chain,180,167
196,Ragi Cookies,snack,2,7,4,11,5.50,paper_box,false,359,room_temp,120,130
197,Apple Juice,juice,0,0,10,88,3.15,pet_bottle,false,656,room_temp,110,103
198,Apple Juice,juice,0,0,6,92,2.71,pet_bottle,false,868,room_temp,110,102
199,Mango Pickle,pickle,13,26,0,22,4.35,plastic_jar,true,779,room_temp,470,468
200,Himalayan Mix,snack,1,2,0,8,6.36,plastic_pouch,false,646,room_temp,135,142
